"filename", "language", "Java", "comment", "blank", "total"
"c:\Jank\src\main\java\jp\co\jastec\jank\model\header\WorkingDateTimeValidator.java", "Java", 71, 1, 28, 100
"c:\Jank\src\main\java\jp\co\jastec\jank\model\header\WorkingPattern.java", "Java", 24, 2, 11, 37
"c:\Jank\src\main\java\jp\co\jastec\jank\service\EmpMaster.java", "Java", 30, 3, 12, 45
"c:\Jank\src\main\java\jp\co\jastec\jank\service\JankArchiver.java", "Java", 36, 4, 15, 55
"c:\Jank\src\main\java\jp\co\jastec\jank\service\JankHome.java", "Java", 171, 6, 15, 192
"c:\Jank\src\main\java\jp\co\jastec\jank\service\JankMaster.java", "Java", 31, 8, 15, 54
"c:\Jank\src\main\java\jp\co\jastec\jank\service\PracticeMaster.java", "Java", 30, 4, 13, 47
"c:\Jank\src\main\java\jp\co\jastec\jank\service\ProjectMaster.java", "Java", 57, 3, 18, 78
"c:\Jank\src\main\java\jp\co\jastec\jank\service\TaskSet.java", "Java", 100, 0, 20, 120
"c:\Jank\src\test\java\jp\co\jastec\jank\base\FixedWidthStringTest.java", "Java", 45, 0, 29, 74
"c:\Jank\src\test\java\jp\co\jastec\jank\base\datetime\JankDateTest.java", "Java", 92, 1, 23, 116
"c:\Jank\src\test\java\jp\co\jastec\jank\base\datetime\JankTimeRangeTest.java", "Java", 88, 24, 20, 132
"c:\Jank\src\test\java\jp\co\jastec\jank\base\datetime\JankTimeTest.java", "Java", 104, 2, 32, 138
"Total", "-", 4724, 303, 1508, 6535
